# 泰深输入法专业词库 — 医学
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
一年生植物	yinianshengzhiwu
人畜共患传染病	renchugonghuanchuanranbing
人痘接种	rendoujiezhong
人知降糖胶囊	renzhijiangtangjiaonang
人类免疫缺陷病毒	renleimianyiquexianbingdu
人类疾病动物模型	renleijibingdongwumoxing
人类遗传学	renleiyichuanxue
人纤维蛋白原	renxianweidanbaiyuan
人群易感性	renqunyiganxing
人胎盘片	rentaipanpian
人胎盘组织液	rentaipanzuzhiye
人胰岛素	renyidaosu
人血丙种球蛋白	renxuebingzhongqiudanbai
人血清白蛋白	renxueqingbaidanbai
人血白蛋白	renxuebaidanbai
人血白蛋白注射液	renxuebaidanbaizhusheye
人迎	renying
人迎穴	renyingxue
人造器官	renzaoqiguan
人造血管	renzaoxueguan
仁青常觉	renqingchangjue
仁青芒觉	renqingmangjue
介入医学	jieruyixue
介入放射学	jierufangshexue
介入治疗	jieruzhiliao
介壳虫	jiekechong
他伤	tashang
他克莫司	takemosi
他克莫司胶囊	takemosijiaonang
他唑巴坦	tazuobatan
他唑巴坦钠	tazuobatanna
他达拉非	tadalafei
仙乐雄胶囊	xianlexiongjiaonang
仙授理伤续断秘方	xianshoulishangxuduanmifang
仙方活命饮	xianfanghuomingyin
仙灵骨葆胶囊	xianlinggubaojiaonang
仙藜口服液	xianlikoufuye
代偿性肥大	daichangxingfeida
代田稔	daitianren
代谢性疾病	daixiexingjibing
代谢性白内障	daixiexingbaineizhang
代谢性碱中毒	daixiexingjianzhongdu
代谢性酸中毒	daixiexingsuanzhongdu
代谢性骨病	daixiexinggubing
代谢紊乱	daixiewenluan
代谢综合征	daixiezonghezheng
代谢酶	daixiemei
代谢障碍	daixiezhangai
仲景胃灵丸	zhongjingweilingwan
任应秋	renyingqiu
伊托必利	yituobili
伊曲康唑	yiqukangzuo
伊曲康唑胶囊	yiqukangzuojiaonang
伊来西胺片	yilaixianpian
伊班膦酸钠注射液	yibanlinsuannazhusheye
伊维菌素	yiweijunsu
伊藤痣	yitengzhi
伊达比星	yidabixing
伏兔	futu
伏格列波糖	fugeliebotang
伏格列波糖胶囊	fugeliebotangjiaonang
伏梁	fuliang
伏立康唑	fulikangzuo
伏立康唑片	fulikangzuopian
伐地那非	fadinafei
休克型肺炎	xiukexingfeiyan
休克肺	xiukefei
休息期	xiuxiqi
休止期脱发	xiuzhiqituofa
休眠卵	xiumianluan
众生胶囊	zhongshengjiaonang
优氯净	youlvjing
优甲乐	youjiale
会厌囊肿	huiyannangzhong
会宗	huizong
会穴	huixue
会计学基础	kuaijixuejichu
会阴切开术	huiyinqiekaishu
会阴疝	huiyinshan
会阴穴	huiyinxue
传导性耳聋	chuandaoxingerlong
传导路	chuandaolu
传导通路	chuandaotonglu
传染性红斑	chuanranxinghongban
传染性软疣	chuanranxingruanyou
传染病学	chuanranbingxue
传染病报告卡	chuanranbingbaogaoka
传染过程	chuanranguocheng
传统科学	chuantongkexue
伤口敷料	shangkoufuliao
伤寒杂病论	shanghanzabinglun
伤寒疫苗	shanghanyimiao
伤寒菌苗	shanghanjunmiao
伤寒论选读	shanghanlunxuandu
伤暑	shangshu
伤湿	shangshi
伤湿止痛膏	shangshizhitonggao
伤湿祛痛膏	shangshiqutonggao
伤益气雾剂	shangyiqiwuji
伤科接骨片	shangkejiegupian
伤风停片	shangfengtingpian
伤风止咳糖浆	shangfengzhiketangjiang
伪影	weiying
伪膜性肠炎	weimoxingchangyan
伯氨喹	boankui
伴高血压	bangaoxueya
伸筋丹胶囊	shenjindanjiaonang
伸筋活络丸	shenjinhuoluowan
伸肌	shenji
似动现象	shidongxianxiang
伽玛刀治疗	gamadaozhiliao
位听神经	weitingshenjing
低丙种球蛋白血症	dibingzhongqiudanbaixuezheng
低体重儿	ditizhonger
低分子右旋糖酐	difenziyouxuantanggan
低分子肝素	difenzigansu
低分子量肝素	difenzilianggansu
低密度脂蛋白	dimiduzhidanbai
低盐饮食	diyanyinshi
低色素性贫血	disesuxingpinxue
低血容量	dixuerongliang
低钙血症	digaixuezheng
低镁血症	dimeixuezheng
低颅压性头痛	diluyaxingtoutong
佐匹克隆	zuopikelong
佐匹克隆片	zuopikelongpian
佐米曲普坦	zuomiquputan
体位性低血压	tiweixingdixueya
体像障碍	tixiangzhangai
体内过程	tineiguocheng
体外冲击波碎石	tiwaichongjibosuishi
体外反搏治疗	tiwaifanbozhiliao
体外培育牛黄	tiwaipeiyuniuhuang
体外寄生虫	tiwaijishengchong
体液调节	tiyetiaojie
体温过低	tiwenguodi
体细胞突变	tixibaotubian
体虚感冒	tixuganmao
体表面积	tibiaomianji
体质性矮小	tizhixingaixiao
何启	heqi
何若愚	heruoyu
余云岫	yuyunxiu
余甘子	yuganzi
余甘子喉片	yuganzihoupian
佛焰花序	fuyanhuaxu
佛焰苞	fuyanbao
作业治疗学	zuoyezhiliaoxue
作业疗法	zuoyeliaofa
佩吉特氏病	peijiteshibing
佩夫人止咳露	peifurenzhikelu
依匹斯汀	yipisiting
依地酸钙钠	yidisuangaina
依地酸钙钠注射液	yidisuangainazhusheye
依巴斯汀	yibasiting
依巴斯汀片	yibasitingpian
依帕司他	yipasita
依托度酸	yituodusuan
依托度酸片	yituodusuanpian
依托泊苷	yituopogan
依托泊苷注射液	yituopoganzhusheye
依托红霉素颗粒	yituohongmeisukeli
依替米星	yitimixing
依沙吖啶	yishaading
依苏	yisu
依西美坦	yiximeitan
依诺沙星	yinuoshaxing
依诺沙星乳膏	yinuoshaxingrugao
依诺沙星滴眼液	yinuoshaxingdiyanye
依诺肝素	yinuogansu
依赖型人格障碍	yilaixingrengezhangai
依达拉奉	yidalafeng
依那普利拉	yinapulila
依马打正红花油	yimadazhenghonghuayou
侠溪穴	xiaxixue
侧单眼	cedanyan
侯凡凡	houfanfan
侵袭力	qinxili
便乃通茶	biannaitongcha
便塞停	biansaiting
便血病	bianxiebing
便通胶囊	biantongjiaonang
便闭	bianbi
促凝血药	cuningxueyao
促卵泡生成素	culuanpaoshengchengsu
促卵泡素	culuanpaosu
促性腺激素	cuxingxianjisu
促甲状腺激素	cujiazhuangxianjisu
促皮质激素	cupizhijisu
促皮质素	cupizhisu
促红细胞生成素	cuhongxibaoshengchengsu
促肝细胞生长素	cuganxibaoshengzhangsu
促肾上腺皮质激素	cushenshangxianpizhijisu
促胰液素	cuyiyesu
促黄体生成激素	cuhuangtishengchengjisu
促黄体生成素	cuhuangtishengchengsu
促黑素细胞激素	cuheisuxibaojisu
保元汤	baoyuantang
保列治	baoliezhi
保利尔胶囊	baolierjiaonang
保卫细胞	baoweixibao
保妇康凝胶	baofukangningjiao
保妇康栓	baofukangshuan
保婴丹	baoyingdan
保守性	baoshouxing
保护性免疫	baohuxingmianyi
保护性抗原	baohuxingkangyuan
保济口服液	baojikoufuye
保育培养	baoyupeiyang
保胎无忧片	baotaiwuyoupian
保胎灵	baotailing
保胎灵胶囊	baotailingjiaonang
俞府	yufu
俞府穴	yufuxue
俞梦孙	yumengsun
俞穴	yuxue
信号序列	xinhaoxulie
信息体	xinxiti
修复体	xiufuti
修复术	xiufushu
修复酶	xiufumei
修饰基因	xiushijiyin
修饰行为	xiushixingwei
倍他乐克	beitaleke
倍他米松	beitamisong
倍他米松戊酸酯	beitamisongwusuanzhi
倍他米隆	beitamilong
倍氯米松	beilvmisong
倍美力片	beimeilipian
倒位	daowei
倒经	daojing
倒置显微镜	daozhixianweijing
倪葆春	nibaochun
倾倒综合征	qingdaozonghezheng
假两性同体	jialiangxingtongti
假两性畸形	jialiangxingjixing
假单胞菌	jiadanbaojun
假怒	jianu
假性动脉瘤	jiaxingdongmailiu
假性延髓麻痹	jiaxingyansuimabi
假性性早熟	jiaxingxingzaoshu
假性斑秃	jiaxingbantu
假性球麻痹	jiaxingqiumabi
假性肥大	jiaxingfeida
假狂犬病	jiakuangquanbing
假阳性	jiayangxing
假阴性	jiayinxing
偏态分布	piantaifenbu
偏执型人格障碍	pianzhixingrengezhangai
偏执型精神分裂症	pianzhixingjingshenfenliezheng
偏执状态	pianzhizhuangtai
偏振光显微镜	pianzhenguangxianweijing
偏瘫复原丸	piantanfuyuanwan
偏盲	pianmang
停药反应	tingyaofanying
健儿止泻颗粒	jianerzhixiekeli
健儿消食口服液	jianerxiaoshikoufuye
健儿清解液	jianerqingjieye
健儿疳积散	jianerganjisan
健康带菌者	jiankangdaijunzhe
健康教育学	jiankangjiaoyuxue
健康档案	jiankangdangan
健康行为	jiankangxingwei
健康评估	jiankangpinggu
健延龄胶囊	jianyanlingjiaonang
健民咽喉片	jianminyanhoupian
健肾生发丸	jianshenshengfawan
健肾益肺口服液	jianshenyifeikoufuye
健肾益肺颗粒	jianshenyifeikeli
健胃消炎颗粒	jianweixiaoyankeli
健胃消食口服液	jianweixiaoshikoufuye
健胃消食片	jianweixiaoshipian
健脑益气片	jiannaoyiqipian
健脑胶囊	jiannaojiaonang
健脑补肾丸	jiannaobushenwan
健脾丸	jianpiwan
健脾五味丸	jianpiwuweiwan
健脾化湿	jianpihuashi
健脾壮腰药酒	jianpizhuangyaoyaojiu
健脾止遗片	jianpizhiyipian
健脾消食丸	jianpixiaoshiwan
健脾益气	jianpiyiqi
健脾益肾	jianpiyishen
健脾益肾颗粒	jianpiyishenkeli
健脾祛湿	jianpiqushi
健脾糕片	jianpigaopian
健脾补血	jianpibuxue
健身跑	jianshenpao
健身长春膏	jianshenchangchungao
健阳胶囊	jianyangjiaonang
偶合反应	ouhefanying
傅培彬	fupeibin
傅山	fushan
储存宿主	chucunsuzhu
催产素引产	cuichansuyinchan
催眠剂	cuimianji
儿康宁糖浆	erkangningtangjiang
儿感清口服液	erganqingkoufuye
儿泻康贴膜	erxiekangtiemo
儿科七厘散	erkeqilisan
儿科护理学	erkehulixue
儿童保健学	ertongbaojianxue
儿童口腔医学	ertongkouqiangyixue
儿童咳液	ertongkeye
儿童少年卫生学	ertongshaonianweishengxue
儿童感热清丸	ertongganreqingwan
儿童护理	ertonghuli
儿童清肺丸	ertongqingfeiwan
儿童清肺口服液	ertongqingfeikoufuye
儿童脑性瘫痪	ertongnaoxingtanhuan
儿童高钙片	ertonggaogaipian
儿童鼻窦炎	ertongbidouyan
儿茶酸	erchasuan
元参	yuancan
元洲仔	yuanzhouzai
元神之府	yuanshenzhifu
元胡止痛滴丸	yuanhuzhitongdiwan
元胡止痛片	yuanhuzhitongpian
元胡止痛胶囊	yuanhuzhitongjiaonang
充溢性尿失禁	chongyixingniaoshijin
充盈缺损	chongyingquesun
充血性心力衰竭	chongxuexingxinlishuaijie
先兆临产	xianzhaolinchan
先兆子痫	xianzhaozixian
先兆早产	xianzhaozaochan
先天性主动脉缩窄	xiantianxingzhudongmaisuozhai
先天性代谢缺陷	xiantianxingdaixiequexian
先天性动脉瘤	xiantianxingdongmailiu
先天性后鼻孔闭锁	xiantianxinghoubikongbisuo
先天性喉喘鸣	xiantianxinghouchuanming
先天性喉蹼	xiantianxinghoupu
先天性垂直距骨	xiantianxingchuizhijugu
先天性多毛症	xiantianxingduomaozheng
先天性巨结肠	xiantianxingjujiechang
先天性弱视	xiantianxingruoshi
先天性心脏病	xiantianxingxinzangbing
先天性愚型	xiantianxingyuxing
先天性斜颈	xiantianxingxiejing
先天性无虹膜	xiantianxingwuhongmo
先天性晶状体脱位	xiantianxingjingzhuangtituowei
先天性梅毒	xiantianxingmeidu
先天性漏斗胸	xiantianxingloudouxiong
先天性疾病	xiantianxingjibing
先天性白内障	xiantianxingbaineizhang
先天性眼球震颤	xiantianxingyanqiuzhenchan
先天性睑内翻	xiantianxingjianneifan
先天性秃发	xiantianxingtufa
先天性缺牙	xiantianxingqueya
先天性耳前瘘管	xiantianxingerqianlouguan
先天性耳聋	xiantianxingerlong
先天性肌病	xiantianxingjibing
先天性肝囊肿	xiantianxinggannangzhong
先天性肺动脉狭窄	xiantianxingfeidongmaixiazhai
先天性肺动静脉瘘	xiantianxingfeidongjingmailou
先天性肺发育不全	xiantianxingfeifayubuquan
先天性肺囊肿	xiantianxingfeinangzhong
先天性肾囊肿	xiantianxingshennangzhong
先天性肿瘤	xiantianxingzhongliu
先天性脑积水	xiantianxingnaojishui
先天性脑血管畸形	xiantianxingnaoxueguanjixing
先天性脱发	xiantianxingtuofa
先天性膈疝	xiantianxinggeshan
先天性色痣	xiantianxingsezhi
先天性足畸形	xiantianxingzujixing
先天性阴道闭锁	xiantianxingyindaobisuo
先天性青光眼	xiantianxingqingguangyan
先天性风疹综合征	xiantianxingfengzhenzonghezheng
先天性风疹综合症	xiantianxingfengzhenzonghezheng
先天性食管狭窄	xiantianxingshiguanxiazhai
先天性食管闭锁	xiantianxingshiguanbisuo
先天性马蹄内翻足	xiantianxingmatineifanzu
先天性髋关节脱位	xiantianxingkuanguanjietuowei
先天性髋内翻	xiantianxingkuanneifan
先天性髋脱位	xiantianxingkuantuowei
先天性髌骨脱位	xiantianxingbingutuowei
先天梅毒	xiantianmeidu
先强严灵	xianqiangyanling
先证者	xianzhengzhe
光动力学疗法	guangdonglixueliaofa
光动力疗法	guangdongliliaofa
光化性唇炎	guanghuaxingchunyan
光固化机	guangguhuaji
光固化树脂	guangguhuashuzhi
光学显微镜	guangxuexianweijing
光接触性皮炎	guangjiechuxingpiyan
光敏性皮炎	guangminxingpiyan
光敏物质	guangminwuzhi
光明穴	guangmingxue
光果甘草	guangguogancao
光毒性反应	guangduxingfanying
光毒性皮炎	guangduxingpiyan
光气中毒	guangqizhongdu
光疗法	guangliaofa
光线性唇炎	guangxianxingchunyan
光线性角化病	guangxianxingjiaohuabing
光老化	guanglaohua
光谱图	guangputu
光辉霉素	guanghuimeisu
光适应	guangshiying
克什克腾	keshenketeng
克伤痛搽剂	keshangtongchaji
克伦特罗	kelunteluo
克咳敏	kekemin
克咳胶囊	kekejiaonang
克感利咽颗粒	keganliyankeli
克拉克现象	kelakexianxiang
克拉维酸	kelaweisuan
克拉维酸钾	kelaweisuanjia
克拉霉素	kelameisu
克拉霉素干混悬剂	kelameisuganhunxuanji
克拉霉素片	kelameisupian
克拉霉素胶囊	kelameisujiaonang
克拉霉素颗粒	kelameisukeli
克林霉素	kelinmeisu
克林霉素磷酸酯	kelinmeisulinsuanzhi
克氏针	keshizhen
克氏锥虫	keshizhuichong
克淋通胶囊	kelintongjiaonang
克痒舒洗液	keyangshuxiye
克痢痧胶囊	kelishajiaonang
克痹骨泰胶囊	kebigutaijiaonang
克罗恩病	keluoenbing
克银丸	keyinwan
克霉唑乳膏	kemeizuorugao
克霉唑栓	kemeizuoshuan
克霉唑片	kemeizuopian
克霉唑癣药水	kemeizuoxuanyaoshui
克霉唑软膏	kemeizuoruangao
克霉唑阴道片	kemeizuoyindaopian
免疫力低下	mianyilidixia
免疫功能	mianyigongneng
免疫印迹法	mianyiyinjifa
免疫反应	mianyifanying
免疫吸附柱	mianyixifuzhu
免疫器官	mianyiqiguan
免疫固定电泳	mianyigudingdianyong
免疫增强药	mianyizengqiangyao
免疫复合物	mianyifuhewu
免疫学检验	mianyixuejianyan
免疫屏障	mianyipingzhang
免疫应答	mianyiyingda
免疫成功率	mianyichenggonglv
免疫抑制剂	mianyiyizhiji
免疫抑制疗法	mianyiyizhiliaofa
免疫排斥	mianyipaichi
免疫接种	mianyijiezhong
免疫效果	mianyixiaoguo
免疫核糖核酸	mianyihetanghesuan
免疫毒性	mianyiduxing
免疫活性	mianyihuoxing
免疫活性细胞	mianyihuoxingxibao
免疫球蛋白	mianyiqiudanbai
免疫球蛋白基因	mianyiqiudanbaijiyin
免疫生物学	mianyishengwuxue
免疫疗法	mianyiliaofa
免疫病理学	mianyibinglixue
免疫程序	mianyichengxu
免疫策略	mianyicelve
免疫组织化学法	mianyizuzhihuaxuefa
免疫细胞	mianyixibao
免疫缺乏	mianyiquefa
免疫缺陷	mianyiquexian
免疫缺陷病	mianyiquexianbing
免疫网络	mianyiwangluo
免疫耐受性	mianyinaishouxing
免疫荧光试验	mianyiyingguangshiyan
免疫规划	mianyiguihua
免疫记忆	mianyijiyi
免疫防御	mianyifangyu
兔热病	turebing
兔眼	tuyan
兔耳草	tuercao
全同胞	quantongbao
全喉切除术	quanhouqiechushu
全天麻胶囊	quantianmajiaonang
全瓷冠	quanciguan
全瓷牙	quanciya
全白内障	quanbaineizhang
全秃	quantu
全科医学	quankeyixue
全科医学概论	quankeyixuegailun
全肺切除术	quanfeiqiechushu
全胃切除术	quanweiqiechushu
全能细胞	quannengxibao
全膀胱切除术	quanpangguangqiechushu
全色盲	quansemang
全葡萄膜炎	quanputaomoyan
全血黏度	quanxueniandu
全身乏力	quanshenfali
全身体格检查	quanshentigejiancha
全身作用	quanshenzuoyong
全身性感染	quanshenxingganran
全身感染	quanshenganran
全身麻醉	quanshenmazui
全身麻醉药	quanshenmazuiyao
全髋关节置换术	quankuanguanjiezhihuanshu
全鹿丸	quanluwan
全鹿大补丸	quanludabuwan
八仙长寿丸	baxianchangshouwan
八十一难	bashiyinan
八华	bahua
八味和胃口服液	baweiheweikoufuye
八味地黄丸	baweidihuangwan
八味沉香丸	baweichenxiangwan
八味沉香散	baweichenxiangsan
八味石灰华丸	baweishihuihuawan
八宝眼药	babaoyanyao
八氟环丁烷	bafuhuandingwan
八珍丸	bazhenwan
八珍汤	bazhentang
八珍片	bazhenpian
八珍益母丸	bazhenyimuwan
八珍颗粒	bazhenkeli
八纲辨证	bagangbianzheng
八角茴香水	bajiaohuixiangshui
八角茴香油	bajiaohuixiangyou
八邪穴	baxiexue
公丁香	gongdingxiang
公孙穴	gongsunxue
六合定中丸	liuhedingzhongwan
六君子丸	liujunziwan
六君子汤	liujunzitang
六味地黄丸	liuweidihuangwan
六味地黄口服液	liuweidihuangkoufuye
六味地黄滴丸	liuweidihuangdiwan
六味地黄片	liuweidihuangpian
六味地黄胶囊	liuweidihuangjiaonang
六味地黄膏	liuweidihuanggao
六味地黄软胶囊	liuweidihuangruanjiaonang
六味壮骨	liuweizhuanggu
六味安消胶囊	liuweianxiaojiaonang
六味防脱生发酊	liuweifangtuoshengfading
六味香连胶囊	liuweixianglianjiaonang
六氯苯	liulvben
六甲溴铵	liujiaxiuan
六神散	liushensan
六经辨证	liujingbianzheng
兰室秘藏	lanshimicang
兰索拉唑片	lansuolazuopian
兰索拉唑肠溶片	lansuolazuochangrongpian
兰索拉唑肠溶胶囊	lansuolazuochangrongjiaonang
共同性外斜视	gongtongxingwaixieshi
共同性斜视	gongtongxingxieshi
共同抗原	gongtongkangyuan
共同运动	gongtongyundong
共振论	gongzhenlun
共生固氮	gongshenggudan
共生细菌	gongshengxijun
共运输	gongyunshu
关元	guanyuan
关元俞穴	guanyuanyuxue
关元穴	guanyuanxue
关冲	guanchong
关节僵硬	guanjiejiangying
关节内游离体	guanjieneiyouliti
关节学	guanjiexue
关节强直	guanjieqiangzhi
关节扭伤	guanjieniushang
关节止痛膏	guanjiezhitonggao
关节活动度	guanjiehuodongdu
关节畸形	guanjiejixing
关节疼痛	guanjietengtong
关节盂	guanjieyu
关节腔	guanjieqiang
关节软骨	guanjieruangu
关节镜检查	guanjiejingjiancha
关节面	guanjiemian
关通舒胶囊	guantongshujiaonang
关闸广场	guanzhaguangchang
关闸马路	guanzhamalu
兴奋性突触	xingfenxingtuchu
其他粉尘	qitafenchen
具体运算阶段	jutiyunsuanjieduan
典型肺结核	dianxingfeijiehe
养心宁神丸	yangxinningshenwan
养心安神	yangxinanshen
养心定悸口服液	yangxindingjikoufuye
养心定悸膏	yangxindingjigao
养正消积胶囊	yangzhengxiaojijiaonang
养老穴	yanglaoxue
养肝胶囊	yangganjiaonang
养肾活血酒	yangshenhuoxuejiu
养胃舒胶囊	yangweishujiaonang
养胃舒颗粒	yangweishukeli
养胃颗粒	yangweikeli
养荣祛斑膏	yangrongqubangao
养血口服液	yangxuekoufuye
养血安神	yangxueanshen
养血安神丸	yangxueanshenwan
养血安神片	yangxueanshenpian
养血当归糖浆	yangxuedangguitangjiang
养血清脑丸	yangxueqingnaowan
养血清脑颗粒	yangxueqingnaokeli
养血生发胶囊	yangxueshengfajiaonang
养血荣筋丸	yangxuerongjinwan
养血补肾丸	yangxuebushenwan
养血调经	yangxuetiaojing
养阴口香合剂	yangyinkouxiangheji
养阴清肺	yangyinqingfei
养阴清肺丸	yangyinqingfeiwan
养阴清肺口服液	yangyinqingfeikoufuye
养阴清肺汤	yangyinqingfeitang
养阴清肺糖浆	yangyinqingfeitangjiang
养阴清肺膏	yangyinqingfeigao
养阴降压胶囊	yangyinjiangyajiaonang
兼性厌氧菌	jianxingyanyangjun
内侧楔骨	neicexiegu
内侧纵束	neicezongshu
内侧隆起	neicelongqi
内侧韧带	neicerendai
内倒转术	neidaozhuanshu
内分泌失调	neifenmishitiao
内分泌病	neifenmibing
内分泌系统	neifenmixitong
内切酶	neiqiemei
内因子	neiyinzi
内庭穴	neitingxue
内板	neiban
内消	neixiao
内消瘰疬片	neixiaoluolipian
内源基因	neiyuanjiyin
内源性感染	neiyuanxingganran
内源性支气管哮喘	neiyuanxingzhiqiguanxiaochuan
内照射	neizhaoshe
内环境稳定	neihuanjingwending
内皮舒张因子	neipishuzhangyinzi
内眦赘皮	neizizhuipi
内眦赘皮矫正术	neizizhuipijiaozhengshu
内科学	neikexue
内科学基础	neikexuejichu
